Purchase Order Number,Budget Code,Budget Amount (SAR),Project Name,Invoice Num,Invoice Date,Invoice Amount (SAR),Payment Amount (SAR)
PO-00890,IT-2023-222021-300010000," 165,698.00 ",ZoneInnovate: The SEZ Advancement Initiative,MT28000010,30-Jul-23," 97,750.00 "," 97,750.00 "
CO-00140,CS-2023-2222027-300010000," 2,960,695.00 ",TradeFrontier: Economic Zone Expansion Project,INV-10262,13-Sep-23," 1,177,310.20 "," 1,177,310.20 "
CO-00140,CS-2023-2222027-300010000," 2,960,695.00 ",TradeFrontier: Economic Zone Expansion Project,INV-10293,19-Oct-23," 122,613.00 "," 122,613.00 "
SO-00280,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoZone Evolution: A Green Industrial Revival,INV221,25-Oct-22," 989,000.00 "," 989,000.00 "
SO-00280,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoZone Evolution: A Green Industrial Revival,INV368,3-May-23," 1,236,250.00 "," 1,236,250.00 "
SO-00280,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoZone Evolution: A Green Industrial Revival,INV463,10-Aug-23," 741,750.00 "," 741,750.00 "
SO-00280,INI-ISD-CY-22-DT," 17,500,000.00 ",EcoZone Evolution: A Green Industrial Revival,INV610,16-Feb-23," 1,978,000.00 "," 1,978,000.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV220,25-Oct-22," 602,600.00 "," 602,600.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV257,7-Nov-22," 602,600.00 "," 602,600.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV336,28-Mar-23," 1,007,400.00 "," 1,007,400.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV479,17-Aug-23," 155,250.00 "," 155,250.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV630,30-Oct-23," 324,300.00 "," 324,300.00 "
SO-00284,INI-ISD-CY-22-CS," 7,400,000.00 ",PortProsper: SEZ Maritime Commerce Hub,INV705,20-Nov-23," 155,250.00 ",
SO-00398,IT-2023A-2252," 10,000,000.00 ",PolicyPioneer: SEZ Regulatory Reform Taskforce,INV460,10-Aug-23," 1,644,500.00 "," 1,644,500.00 "
SO-00398,IT-2023A-2252," 10,000,000.00 ",PolicyPioneer: SEZ Regulatory Reform Taskforce,INV594,10-Oct-23," 328,900.00 "," 328,900.00 "
SO-00398,IT-2023A-2252," 10,000,000.00 ",PolicyPioneer: SEZ Regulatory Reform Taskforce,INV645,2-Nov-23," 657,800.00 "," 657,800.00 "
SO-00398,IT-2023A-2252," 10,000,000.00 ",PolicyPioneer: SEZ Regulatory Reform Taskforce,INV757,24-Jan-24," 657,800.00 ",
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2021/2752,13-Dec-21," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2022/ 3261,15-Dec-22," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2022/2863,21-Mar-22," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2022/2970,19-Jun-22," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2022/3098,21-Sep-22," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2023/3409,22-Mar-23," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2023/3535,14-Jun-23," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA-/SAJ/2023/3728-,18-Sep-23," 5,000.20 "," 5,000.20 "
PO-00686,INI-ITD-CY-21-SW," 760,000.00 ",FutureHub: The Next-Gen SEZ Development Program,KSA/SAJ/2021/2617,18-Aug-21," 64,400.00 "," 64,400.00 "
SO-00318,MEGA-7.0.3," 25,411,909.00 ",TradeWind: International Commerce Accelerator,5000000252,19-Jun-23," 3,456,845.93 "," 3,456,845.93 "
SO-00318,MEGA-7.0.3," 25,411,909.00 ",TradeWind: International Commerce Accelerator,5000000358,24-Aug-23," 1,409,135.97 "," 1,409,135.97 "
SO-00291,INI-ISD-CY-22-MS," 4,336,300.00 ",ZoneTech: The SEZ Innovation Network,INV317,16-Feb-23," 514,844.65 "," 514,844.65 "
SO-00291,INI-ISD-CY-22-MS," 4,336,300.00 ",ZoneTech: The SEZ Innovation Network,INV328,13-Mar-23," 514,844.65 "," 514,844.65 "
SO-00291,INI-ISD-CY-22-MS," 4,336,300.00 ",ZoneTech: The SEZ Innovation Network,INV367,12-Apr-23," 257,422.33 "," 257,422.33 "
SO-00291,INI-ISD-CY-22-MS," 4,336,300.00 ",ZoneTech: The SEZ Innovation Network,INV704,20-Nov-23," 257,422.33 "," 257,422.33 "
SO-00381,CS-2023-2222027-300010000," 2,960,695.00 ",InfraAdvance: Infrastructure Enhancement in SEZs,KSA-/SAJ/2023/3515,30-May-23," 47,961.90 "," 47,961.90 "
